cityid_ppn,city,state_code,country_code,remove tag
800000699,Leavenworth,KS,US,
800000700,Leoti,KS,US,
800000701,Maize,KS,US,
800000702,Paola,KS,US,
800000703,Parsons,KS,US,
800000704,Randolph,KS,US,
800000705,Russell,KS,US,
800000706,Scammon,KS,US,
800000707,Scott City,KS,US,
800000708,Spring Hill,KS,US,
800000709,Thayer,KS,US,
800000711,Wa Keeney,KS,US,
800000712,Wamego,KS,US,
800000713,Waterville,KS,US,
800000714,Albany,KY,US,
800000715,Augusta,KY,US,
800000716,Barbourville,KY,US,
800000717,Beaver Dam,KY,US,
800000718,Bellevue,KY,US,
800000719,Benton,KY,US,
800000721,Cadiz,KY,US,
800000722,Calvert City,KY,US,
800000723,Catlettsburg,KY,US,
800000724,Central City,KY,US,
800000725,Cincinnati,KY,US,
800000726,Clay City,KY,US,
800000727,Columbia,KY,US,
800000728,Fort Knox,KY,US,
800000729,Grand Rivers,KY,US,
800000730,Harrodsburg,KY,US,
800000731,Hawesville,KY,US,
800000732,Henderson,KY,US,
800000733,Irvine,KY,US,
800000734,Lily,KY,US,
800000735,Louisa,KY,US,
800000736,Manchester,KY,US,
800000738,Mayfield,KY,US,
800000739,Maysville,KY,US,
800000740,Middlesboro,KY,US,
800000741,Morganfield,KY,US,
800000742,Newport,KY,US,
800000743,Nortonville,KY,US,
800000744,Owenton,KY,US,
800000745,Paint Lick,KY,US,
800000746,Paintsville,KY,US,
800000747,Paris,KY,US,
800000748,Pembroke,KY,US,
800000749,Perryville,KY,US,
800000750,Pikeville,KY,US,
800000751,Princeton,KY,US,
800000752,Russell,KY,US,
800000753,Russellville,KY,US,
800000754,Sacramento,KY,US,
800000755,Saint Charles,KY,US,
800000756,Sandy Hook,KY,US,
800000757,Smithfield,KY,US,
800000758,Sparta,KY,US,
800000759,Van Lear,KY,US,
800000760,Walton,KY,US,
800000761,Waverly,KY,US,
800000762,West Liberty,KY,US,
800000763,Whitesburg,KY,US,
800000764,Whitley City,KY,US,
800000765,Abita Springs,LA,US,
800000766,Amite,LA,US,
800000767,Arcadia,LA,US,
800000768,Bastrop,LA,US,
800000769,Broussard,LA,US,
800000770,Bunkie,LA,US,
800000771,Chalmette,LA,US,
800000772,Cottonport,LA,US,
800000773,Cut Off,LA,US,
800000774,Darrow,LA,US,
800000775,Delhi,LA,US,
800000776,Egan,LA,US,
800000778,Franklin,LA,US,
800000779,Iowa,LA,US,
800000780,Jeanerette,LA,US,
800000781,Jena,LA,US,
800000782,La Place,LA,US,
800000783,Lacombe,LA,US,
800000784,Lecompte,LA,US,
800000785,Luling,LA,US,
800000786,Mandeville,LA,US,
800000787,Mansfield,LA,US,
800000788,Many,LA,US,
800000789,Marksville,LA,US,
800000790,Minden,LA,US,
800000791,Newllano,LA,US,
800000792,Oakdale,LA,US,
800000793,Pitkin,LA,US,
800000794,Plaquemine,LA,US,
800000795,Rayne,LA,US,
800000796,Rayville,LA,US,
800000797,Saint Francisville,LA,US,
800000798,Saint Martinville,LA,US,
800000799,Springfield,LA,US,
800000800,Tallulah,LA,US,
800000802,Ville Platte,LA,US,
800000803,Vinton,LA,US,
800000804,Walker,LA,US,
800000805,Winnfield,LA,US,
800000806,Winnsboro,LA,US,
800000807,Youngsville,LA,US,
800000808,Abington,MA,US,
800000809,Adams,MA,US,
800000810,Amherst,MA,US,
800000812,Athol,MA,US,
800000813,Attleboro,MA,US,
800000814,Auburndale,MA,US,
800000815,Ayer,MA,US,
800000816,Barre,MA,US,
800000817,Bellingham,MA,US,
800000818,Bernardston,MA,US,
800000819,Bridgewater,MA,US,
800000820,Brighton,MA,US,
800000821,Chestnut Hill,MA,US,
800000822,Cohasset,MA,US,
800000823,Cotuit,MA,US,
800000824,Dennis,MA,US,
800000825,Easthampton,MA,US,
800000826,Foxboro,MA,US,
800000827,Gardner,MA,US,
800000828,Hanson,MA,US,
800000829,Harvard,MA,US,
800000830,Harwich,MA,US,
800000831,Hatfield,MA,US,
800000832,Hopkinton,MA,US,
800000833,Hyde Park,MA,US,
800000834,Kingston,MA,US,
800000835,Lakeville,MA,US,
800000836,Lancaster,MA,US,
800000838,Longmeadow,MA,US,
800000839,Ludlow,MA,US,
800000840,Lynn,MA,US,
800000841,Marshfield,MA,US,
800000842,Marstons Mills,MA,US,
800000843,Maynard,MA,US,
800000844,Medford,MA,US,
800000845,North Andover,MA,US,
800000846,North Falmouth,MA,US,
800000847,Northampton,MA,US,
800000848,Norton,MA,US,
800000849,Palmer,MA,US,
800000850,Rehoboth,MA,US,
800000851,Rutland,MA,US,
800000852,Scituate,MA,US,
800000853,South Egremont,MA,US,
800000854,Southbridge,MA,US,
800000855,Southwick,MA,US,
800000856,Spencer,MA,US,
800000857,Stoneham,MA,US,
800000858,Sutton,MA,US,
800000859,Swampscott,MA,US,
800000860,Taunton,MA,US,
800000861,Wellesley,MA,US,
800000862,Wellfleet,MA,US,
800000863,West Barnstable,MA,US,
800000864,West Harwich,MA,US,
800000865,West Tisbury,MA,US,
800000866,Westport,MA,US,
800000867,Wilmington,MA,US,
800000868,Accokeek,MD,US,
800000869,Andrews Air Force Base,MD,US,
800000870,Arnold,MD,US,
800000871,Berlin,MD,US,
800000872,Bishopville,MD,US,
800000873,Bladensburg,MD,US,
800000874,Brooklyn,MD,US,
800000875,Burtonsville,MD,US,
800000876,Centreville,MD,US,
800000877,Charlestown,MD,US,
